net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
4.01E+12,,1.84,0,100,0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.44,7.05,1.96,4.95,1.7,20.29,14.61,0,0,0,0,0,0,0,0,0,-6.62,0,1.22,0,-3.11,0,-5.17,0,3.83,0,7.86,0,9.25,0,,22.06,0.29,0.39,0.35,1,0.98,0.99,0.4,0.72,0.86,99.72,99.7,99.68,14.38,14.75,16.89,0.34,0.59,0.6,8.01,9.29
8.43E+12,,1.77,0.05,99.99,0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.43,7.06,1.96,4.95,1.7,20.29,14.62,0,0,0,0,0,0,0,0,0,-6.43,0,1.3,0,-3.1,0,-5.21,0,3.88,0,7.87,0,9.27,0,,22.06,0.31,0.4,0.38,1,0.98,0.98,0.41,0.72,0.86,99.72,99.69,99.68,14.38,14.75,16.83,0.34,0.59,0.61,8.03,9.33
3.73E+12,,1.84,0,99.08,0,12.92,1.18,0.81,5.44,7.74,17.33,11.57,3.22,9.53,7.07,1.99,4.98,1.7,20.23,14.62,0,0,0,0,0,0,0,0,0,-6.47,0,1.31,0,-3.08,0,-5.09,0,3.85,0,7.87,0,9.22,0,,22.09,0.3,0.41,0.36,1,0.98,0.99,0.4,0.72,0.86,99.72,99.69,99.68,14.38,14.75,16.9,0.34,0.59,0.6,8.03,9.31
4450000000,,0,0,18.57,0,12.09,1.01,0.56,3.86,6.38,13.36,14.15,0,10.13,11,3.68,10.08,8.52,18.17,4.53,0,0,0,0,0,0,0,0,0,-16.05,0,-0.39,0,-3.55,0,-14.92,0,-5.38,0,8,0,3.2,0,,28.05,-10.14,0.98,-4.36,0.98,1.08,0.85,-0.17,0.92,0.67,58.13,39.91,35.34,21.92,30.56,30.02,-0.09,0.36,0.26,6.32,4.29
1920000000,,2.57,0,100,0,11.34,1.12,1.07,4.06,2.41,14.25,16.26,1.74,7.93,4.55,0,15.52,2,16.26,19.06,0,0,0,0,0,0,0,0,0,-6.69,0,0.27,0,-3.79,0,-6.8,0,0.95,0,4.44,0,6.7,0,,14.83,-2.58,-3.41,-2.56,1.04,1.06,1.06,0.18,0.46,0.68,96.51,97.19,96.63,15.16,16.21,18.39,0.14,0.34,0.44,4.08,6.18
3260000000,,1.82,0,99.9,0,11.34,1.12,1.07,4.07,2.44,14.26,16.25,1.74,7.91,4.56,0,15.52,2,16.32,18.99,0,0,0,0,0,0,0,0,0,-6.94,0,0.13,0,-3.48,0,-6.94,0,0.99,0,4.45,0,6.7,0,,14.84,-2.56,-3.39,-2.5,1.04,1.06,1.06,0.18,0.47,0.68,96.52,97.2,96.64,15.16,16.22,18.38,0.14,0.34,0.44,4.1,6.24
2300000000,,1.13,0,99.33,0,14.48,1.08,0.66,5.68,11.55,22.05,11.79,1.72,9.54,6.49,1.43,0.22,0.29,21.47,13.44,0,0,0,0,0,0,0,0,0,-6.36,0,5.71,0,-3.21,0,-3.04,0,6.27,0,10.55,0,11.52,0,,26.21,1.09,0.8,0.84,0.99,0.95,0.97,0.57,0.89,1.01,98.09,96.98,97.38,14.16,13.34,15.8,0.48,0.8,0.76,10.8,11.71
6.45E+12,6.95,2.23,0.16,99.06,0,7.04,0.97,0.66,5.15,7.83,9.27,11.88,0,6.35,6.11,1.31,3.04,2.35,9.38,42.47,0,100,0,0,0,0,0,0,0,-15.52,0,2.92,0,-9.07,0,-14.89,0,5.53,0,1.76,0,8.18,0,,27.06,1.93,1.61,1.39,1,0.99,1,0.51,0.2,0.76,98.47,98.54,99.27,11.98,11.07,15.4,0.39,0.05,0.44,-0.05,5.82
10050000000,,1.88,0,98.71,0,12.86,1.23,0.89,5.55,7.49,18.64,10.29,3.16,8.89,7.21,1.82,7.79,1.84,18.12,14.76,0,0,0,0,0,0,0,0,0,-7.05,0,0.63,0,-4.45,0,-3.49,0,6,0,9.94,0,8.82,0,,19.41,0.05,-0.27,-0.23,0.98,0.98,0.98,0.38,0.67,0.81,99.73,99.78,99.83,14.15,14.8,16.84,0.32,0.54,0.57,7.29,8.66
2.65E+12,,1.69,0,100,0,15.52,1.66,1.07,9.04,10,23.38,2.81,2.18,8.33,11.29,0.23,7.65,0.9,17.59,15.63,0,0,0,0,0,0,0,0,0,-0.11,0,2.14,0,-1.46,0,0.1,0,6.02,0,9.17,0,12.01,0,,21.07,2.29,1.52,2.63,1.04,1,1.02,0.59,0.83,1.08,95.5,95.1,93.95,15.3,15.44,18.08,0.46,0.64,0.71,9.13,11.58
5.97E+12,,1.52,0,99.99,0,15.85,1.69,1.09,9.22,9.88,23.78,2.7,2.25,8.48,11.76,0.23,7.58,0.78,17.19,15.36,0,0,0,0,0,0,0,0,0,-0.25,0,2.09,0,-1.46,0,0.01,0,6,0,9.12,0,11.97,0,,21.02,2.26,1.48,2.63,1.04,1,1.02,0.58,0.83,1.08,95.51,95.09,93.98,15.3,15.44,18.02,0.46,0.64,0.71,9.1,11.59
1840000000,,0,0,98.4,0,10.89,1.38,1.07,4.75,7.64,9.2,35.84,4.92,7.97,5.95,2.85,0.73,1.49,13.51,9.91,0,0,0,0,0,0,0,0,0,-10.81,0,-3.5,0,-6.49,0,-12.43,0,-1.18,0,7.99,0,6.36,0,,26.11,-14.65,-1.21,-1.19,1.03,1.13,0.87,-0.51,0.78,0.96,60.92,48.64,38.74,22.43,29.04,29.42,-0.27,0.32,0.39,4.66,8.5
405000000,,0,0,98.95,0,12.78,1.86,1.76,7.21,27.02,18.49,24.84,4.05,8.94,4.08,0,6.23,0.16,5.28,0.9,0,0,0,0,0,0,0,0,0,-15.16,0,-2.25,0,-9.87,0,-5.19,0,-0.19,0,-0.79,0,6.96,0,,27.22,-6.34,-4.41,-2.6,1.11,1.09,0.99,0.16,0.11,0.82,64.04,70.42,76.25,21.32,20.58,23.35,0.09,0.06,0.42,-0.77,7.43
1690000000,,3.63,0,98.5,0,4.95,0.78,1.01,5.73,15.92,0.51,18.64,0.45,4.26,0,2.48,3.31,51.03,0.73,2.66,0,0,0,0,0,0,0,0,0,2.16,0,3.36,0,6.03,0,2.98,0,9.07,0,0.67,0,5.7,0,,0.06,6.39,-2.39,-3.26,0.78,0.95,1.14,1.02,0.21,0.93,29.7,32.02,57.67,22.13,26.64,31.05,0.55,0.1,0.36,-0.93,5.7
3260000000,,0,0,72.98,0,12.87,1.83,1.38,6.57,20.87,7.36,21.44,1.9,14.17,2.1,4.73,0.9,19.48,6.17,0.9,0,0,0,0,0,0,0,0,0,1.47,0,-0.48,0,24.7,0,2.99,0,18.95,0,2.05,0,2.61,0,,19.02,-2.64,-0.76,-3.56,1.06,0.99,0.99,2,0.54,0.69,93.91,90.76,88.45,35.63,33.97,32.84,0.68,0.19,0.25,0.96,2.91
29810000000,9.22,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.56,0,0.34,0,1.79,0,-4.59,0,4.27,0,-0.87,0,3.72,0,,11.41,3.85,0.72,5.01,0.03,0.17,0.41,0.41,-0.02,0.42,0.1,3.89,14.92,12.62,12.75,16.89,0.31,-0.06,0.28,-9.41,8.09
92350000,,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.39,0,-2.29,0,-3.39,0,1.25,0,5.17,0,-6.68,0,-3.12,0,,7.97,0,0,0,0,0,0,0.54,-0.47,-0.15,0,0,0,11.53,14.26,17.63,0.46,-0.44,-0.12,0,0
4740000000,,0,0,0,99.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.58,0,0.83,0,-0.68,0,-3.84,0,0.14,0,0.33,0,4.17,0,,7.86,1.05,0.84,5.74,-0.07,0.11,0.41,0.09,0.03,0.46,1.84,2.3,17.63,6.62,9.28,15.44,0.16,0.04,0.35,-0.72,10.54
6.78E+11,,1.51,0,100,0,15.85,1.69,1.09,9.22,9.88,23.78,2.7,2.25,8.48,11.76,0.23,7.58,0.78,17.19,15.36,0,0,0,0,0,0,0,0,0,-0.14,0,2.08,0,-1.54,0,0.12,0,6.03,0,9.13,0,11.99,0,,21.09,2.29,1.52,2.59,1.04,1,1.02,0.59,0.83,1.08,95.52,95.06,93.94,15.29,15.44,18.06,0.46,0.65,0.71,9.14,11.54
2.88E+12,,1.51,0,99.36,0,15.84,1.69,1.09,9.21,9.8,23.73,2.66,2.28,8.57,11.79,0.24,7.74,0.77,17.06,15.36,0,0,0,0,0,0,0,0,0,-0.35,0,1.99,0,-1.58,0,-0.05,0,5.89,0,9.06,0,11.93,0,,20.98,2.21,1.43,2.57,1.04,1,1.02,0.58,0.82,1.08,95.5,95.09,93.93,15.3,15.44,18.08,0.46,0.64,0.71,9.05,11.51
3.15E+11,,3.38,0,99.99,0,21.45,1.35,10.01,10.23,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.12,0,4.43,0,4.76,0,13.18,0,4.72,0,7.97,0,12.48,0,,-7.11,-0.33,-0.34,-0.31,1,1,0.99,0.41,0.66,1.1,100,100,100,7.6,8.74,17.3,0.65,0.91,0.76,7.83,12.4
808000000,,2.53,0,100,0,11.52,1.13,1.05,4.1,2.21,13.97,16.93,1.73,7.66,4.7,0,15.64,2.1,16.09,18.98,0,0,0,0,0,0,0,0,0,-7.88,0,-0.98,0,-5.11,0,-5.72,0,0.43,0,4.03,0,6.4,0,,14.88,-2.56,-3.43,-2.55,1.04,1.06,1.05,0.18,0.46,0.68,96.53,97.25,96.68,15.16,16.16,18.33,0.14,0.34,0.44,4.06,6.19
2.31E+11,,3.44,0,99.36,0,21.42,1.35,10.02,10.27,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,0,3.77,0,4.2,0,12.88,0,4.56,0,7.96,0,12.43,0,,-7.11,-0.3,-0.31,-0.29,1,1,0.99,0.41,0.66,1.1,100,100,99.99,7.6,8.73,17.28,0.66,0.91,0.76,7.86,12.42
1.39E+12,,1.45,0,100,0,15.52,1.66,1.07,9.04,10,23.38,2.81,2.18,8.33,11.29,0.23,7.65,0.9,17.59,15.63,0,0,0,0,0,0,0,0,0,-0.23,0,2.03,0,-1.45,0,0.03,0,5.95,0,9.14,0,0,0,,21.03,2.25,1.49,,1.04,1,,0.58,0.83,,95.51,95.09,,15.3,15.44,,0.46,0.64,,9.1,
3690000000,2.22,3.19,0.19,0,98.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06,0,3.08,0,0.76,0,-0.08,0,2.44,0,1.49,0,4.45,0,,9.35,-1.02,-0.84,0,0.94,0.93,0,0.2,0.12,0.34,97.84,97.9,0,5.93,5.48,6.41,0.23,0.14,0.57,0.7,0
8430000000,,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,-3.19,0,3.11,0,0.93,0,-18.52,0,0,0,0,0,,-36.04,0,,,0,,,-1.39,,,0,,,28.5,,,-0.58,,,,
94660000000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.77,0,-4.94,0,-0.52,0,-10.6,0,-24.46,0,0,0,0,0,,-35.65,0,,,0,,,-1.83,,,0,,,29.4,,,-0.74,,,,
24740000000,,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.9,0,-5.05,0,-0.5,0,-10.77,0,-22.88,0,0,0,0,0,,-35.65,0,,,0,,,-1.8,,,0,,,29.65,,,-0.73,,,,
6440000000,,5.77,0.5,0,97.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,4.07,30.6,39,24.45,1.71,0,0,-7.95,0,3.29,0,4.37,0,-5.95,0,3.51,0,-1.77,0,0,0,,13.99,-1.02,-0.49,,1.02,1,,0.35,-0.1,,99.91,99.72,,11.53,11.07,,0.28,-0.17,,-2.45,
3460000000,2.25,2.46,0.2,0,99.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,-1.67,0,1.32,0,-0.43,0,-1.75,0,0.41,0,1.94,0,3.06,0,,2.47,0,0.2,-0.1,1.45,1.54,1.58,0.04,0.17,0.26,98.49,97.72,97.46,4.63,4.83,5.96,-0.12,0.28,0.47,0.82,1.69
1.50E+11,,1.79,0,100,0,12.98,1.3,0.9,5.54,7.73,14.86,11.49,3.77,10.09,7.62,1.87,5.63,2.01,19.82,15.12,0,0,0,0,0,0,0,0,0,-7,0,4.56,0,-3.31,0,-5.84,0,3,0,0,0,0,0,,20.39,-0.3,,,0.98,,,0.35,,,99.75,,,14.17,,,0.3,,,,
13940000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.21,0,3.75,0,-4.21,0,-3.91,0,6.78,0,0,0,0,0,,43.41,0,,,0,,,0.98,,,0,,,31.8,,,0.37,,,,
5970000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.73,0,-4.89,0,-0.5,0,-10.93,0,-22.98,0,0,0,0,0,,-35.71,0,,,0,,,-1.8,,,0,,,29.59,,,-0.73,,,,
3440000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.4,0,2.19,0,-7.02,0,-13.17,0,2.68,0,0,0,0,0,,45.35,0,,,0,,,0.62,,,0,,,30.01,,,0.25,,,,
1050000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,-3.21,0,3.28,0,1.26,0,-18.63,0,0,0,0,0,,-36.13,0,,,0,,,-1.39,,,0,,,28.48,,,-0.58,,,,
3.62E+11,,1.41,0,98.8,0,18.78,2.2,1.2,8.32,11.55,20.61,2.86,2.32,7.8,9.5,0.21,7.23,0.76,19.46,17.7,0,0,0,0,0,0,0,0,0,0.47,0,2.13,0,-1.48,0,0.17,0,6.01,0,0,0,0,0,,21.06,2.28,,,1.04,,,0.58,,,95.5,,,15.3,,,0.46,,,,
480500000,,2.77,0.15,99.98,0,13.1,1.49,1.11,3.33,8.92,12.19,17.85,0.92,11.14,9.99,4.33,5.19,7.34,12.55,9.56,0,0,0,0,0,0,0,0,0,-7.31,0,-0.8,0,-8.03,0,-8.43,0,-0.17,0,3.82,0,6.31,0,,9.68,-1.06,-1.08,-1.35,1.07,1.06,1.06,0.05,0.39,0.62,98,98.44,98.5,12.81,13.88,16.71,0.08,0.35,0.43,3.77,5.68
,,3.18,0.2,99.83,0,13.25,1.62,1.14,4.18,7.49,10.33,19,1.44,14.26,14.34,3.93,3.88,8.07,11.71,5.53,0,0,0,0,0,0,0,0,0,-5.54,0,-1.07,0,-5.9,0,-5.2,0,0.53,0,4.59,0,0,0,,10.41,0.12,0.12,,1,1,,0.09,0.44,,99.98,99.99,,10.03,11.5,,0.14,0.47,,4.88,
,,3.05,0.18,98.96,0,12.68,1.41,0.98,3.44,7.41,13.46,18.58,2.05,11,8.58,5.73,4.42,5.53,14.02,9.22,0,0,0,0,0,0,0,0,0,-7.11,0,-0.91,0,-7.59,0,-7.8,0,1.23,0,5.03,0,8.02,0,,12.88,0.36,0.35,0.28,1,1,1,0.16,0.48,0.72,99.96,99.97,99.98,11.83,13.02,15.7,0.19,0.46,0.53,5.25,7.43
111610000,,2.99,0.33,99.31,0,13.71,1.46,0.85,4.65,8.56,10.73,14.33,11.42,5.06,7.72,4,2.67,1.89,20.12,13.5,0,0,0,0,0,0,0,0,0,-11.38,0,-2.24,0,-11.67,0,-9.9,0,3.96,0,8.37,0,0,0,,24.09,0.06,0.27,,1,0.99,,0.38,0.74,,99.98,99.8,,12.13,12.68,,0.41,0.72,,8.64,
76050000,,4.06,0.2,99.49,0,12.34,1.63,1.08,4.54,9.45,10.22,19.18,0.97,16.46,11.89,3.15,3.73,17.27,6.45,1.23,0,0,0,0,0,0,0,0,0,-4.48,0,-1.41,0,-5.08,0,-1.26,0,7.24,0,4.77,0,9.03,0,,11.74,-0.15,-0.75,-1.19,1.05,1.06,1.01,0.62,0.43,0.76,97.29,98.01,98.8,9.6,10.2,12.49,0.72,0.46,0.68,4.02,8.01
178710000,,4.54,0.3,99.94,0,13.92,1.51,2.21,7.09,9.46,5.74,38.43,13.65,5.33,5.66,4.44,2.69,3.1,9.65,1.85,0,0,0,0,0,0,0,0,0,-8.19,0,2.94,0,-6.52,0,-5.18,0,7.82,0,1.91,0,0,0,,25.65,-0.28,-0.29,,1,1,,0.71,0.25,,100,100,,13.3,14.48,,0.56,0.16,,1.31,
,,1.71,0.2,99.97,0,16.97,2.51,2.21,7.89,7.25,4.33,17.38,0.56,24.78,36.98,0,1.08,0,7,0.65,0,0,0,0,0,0,0,0,0,-1.26,0,0.13,0,-0.27,0,-0.98,0,3.11,0,0,0,0,0,,17.38,-0.14,-0.12,,1,1,,0.29,0.42,,99.98,99.99,,9.33,10.81,,0.46,0.52,,5.16,
,,3.43,0.2,99.36,0,12.4,1.64,1.08,4.5,8.72,9.59,19.67,1.15,17.05,12.3,3.19,3.79,17.61,5.96,0.97,0,0,0,0,0,0,0,0,0,-4.01,0,0.07,0,-5.91,0,-1.84,0,7.54,0,0,0,0,0,,11.53,-0.18,-0.96,,1.04,1.06,,0.61,0.41,,96.6,97.54,,9.59,10.22,,0.72,0.44,,3.82,
570670000,,1.13,0.14,100,0,17.06,3.02,2.21,12.23,2.5,12.13,15.62,2.64,7.63,15.14,3.14,3.6,5.47,10.01,22.14,0,0,0,0,0,0,0,0,0,2.78,0,0.8,0,-5.42,0,4.79,0,10.77,0,9.92,0,13.47,0,,21.1,-0.62,-0.65,-0.86,0.99,1,0.99,0.92,0.85,1.12,99.83,99.84,99.88,9.5,10.07,13.19,1.05,0.95,0.99,9.53,13.19
1210000000,,1.62,0.3,99.92,0,15.24,2.19,1.66,7.71,4.48,11.61,17.85,2.93,8.93,13.46,3.19,3.79,6.06,11.03,16.66,0,0,0,0,0,0,0,0,0,-2.52,0,0.17,0,-6.34,0,-0.64,0,7.94,0,6.23,0,10.56,0,,22.2,-0.21,-0.21,-0.29,1,1,1,0.7,0.57,0.92,100,100,100,9.48,10.16,14.15,0.78,0.6,0.76,5.81,10.2
66250000000,,1.81,0,100,0,15.65,1.63,1.06,8.98,10.51,21.52,2.78,2.41,8.56,10.41,0.23,7.03,0.76,19,16.79,0,0,0,0,0,0,0,0,0,-0.87,0,3.8,0,-0.8,0,-1.42,0,5.89,0,0,0,0,0,,21.1,2.3,,,1.04,,,0.59,,,95.5,,,15.31,,,0.46,,,,
14020000000,,2.33,0,99.9,0,14.7,1.55,0.74,6.36,11.57,21.06,0,5.63,5.95,8.68,6.81,3.77,3.44,21.41,11.69,0,0,0,0,0,0,0,0,0,-7.31,0,1,0,-2.74,0,-7.73,0,0,0,0,0,0,0,,22.87,2.36,,,0.92,,,0.54,,,95.01,,,13.54,,,0.49,,,,
5840000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96,0,-2.27,0,0.44,0,-4.97,0,-10.71,0,0,0,0,0,,-19.63,0,,,0,,,-0.85,,,0,,,15.16,,,-0.67,,,,
5180000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,-2.08,0,1.75,0,1.62,0,-8.37,0,0,0,0,0,,-19.93,0,,,0,,,-0.64,,,0,,,14.59,,,-0.52,,,,
13350000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.81,0,3.75,0,-4.22,0,-3.49,0,7.25,0,0,0,0,0,,43.82,0,,,0,,,1.02,,,0,,,31.82,,,0.39,,,,
8900000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.33,0,-5.1,0,-0.67,0,-10.24,0,-22.68,0,0,0,0,0,,-35.36,0,,,0,,,-1.78,,,0,,,29.44,,,-0.72,,,,
3010000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01,0,-2.72,0,2.59,0,2.04,0,-7.82,0,0,0,0,0,,-18.96,0,,,0,,,-0.62,,,0,,,14.32,,,-0.52,,,,
338000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,0,-3.4,0,3.32,0,1.02,0,-18.14,0,0,0,0,0,,-34.71,0,,,0,,,-1.36,,,0,,,27.86,,,-0.58,,,,
461000000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.85,0,2.3,0,-7.16,0,-13.94,0,1,0,0,0,0,0,,40.39,0,,,0,,,0.46,,,0,,,29.67,,,0.19,,,,
1900000000,,0,0,99.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,-3.95,0,-1.22,0,-2.93,0,-8.69,0,0,0,0,0,,-18.99,0,,,0,,,-0.64,,,0,,,14.28,,,-0.53,,,,
516000000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,-2.96,0,3.04,0,0.61,0,-18.5,0,0,0,0,0,,-34.98,0,,,0,,,-1.39,,,0,,,27.86,,,-0.6,,,,
1260000000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.68,0,1.66,0,-7.24,0,-13.4,0,1.38,0,0,0,0,0,,41.75,0,,,0,,,0.5,,,0,,,29.72,,,0.2,,,,
235000000,,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,-2.96,0,3.09,0,1.5,0,-18.31,0,0,0,0,0,,-34.67,0,,,0,,,-1.38,,,0,,,27.76,,,-0.6,,,,
1.49E+11,,1.6,0,98.31,0,15.54,1.56,0.92,5.23,8.81,17.73,12.41,3.25,8.5,6.01,1.57,4.81,1.69,20.35,14.88,0,0,0,0,0,0,0,0,0,-6.53,0,1.5,0,-3.04,0,-4.87,0,3.89,0,0,0,0,0,,22.06,0.3,,,1,,,0.4,,,99.72,,,14.38,,,0.34,,,,
1.14E+11,,1.78,0,99.06,0,15.49,1.69,1.02,5.75,9.06,15.94,12.25,4.11,9.19,6.84,1.48,4.91,1.2,20.01,15.03,0,0,0,0,0,0,0,0,0,-7.25,0,1.15,0,-3.12,0,-4.93,0,2.95,0,0,0,0,0,,20.32,-0.36,,,0.98,,,0.34,,,99.76,,,14.18,,,0.29,,,,
2.21E+11,,1.48,0,100,0,12.91,1.18,0.81,5.42,7.81,17.27,11.74,3.15,9.44,7.06,1.96,4.96,1.71,20.3,14.62,0,0,0,0,0,0,0,0,0,-6.57,0,1.32,0,-3.15,0,-5.13,0,3.88,0,0,0,0,0,,22.07,0.33,,,1,,,0.41,,,99.72,,,14.38,,,0.34,,,,
1.57E+11,,3.13,0,100,0,21.46,1.35,10.01,10.23,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.63,0,3.91,0,4.2,0,12.43,0,4.79,0,0,0,0,0,,-7.03,-0.23,,,1,,,0.42,,,100,,,7.59,,,0.67,,,,
15200000000,,1.91,0,99.63,0,15.1,1.31,0.95,5.15,0.87,20.29,7.17,2.02,13.61,10.45,6.84,5.39,1.67,24.49,7.2,0,0,0,0,0,0,0,0,0,-0.78,0,2.83,0,0.91,0,0.41,0,3.97,0,0,0,0,0,,16.17,1.52,,,0.73,,,0.4,,,85.54,,,11.32,,,0.43,,,,
39170000000,,2.68,0,99.53,0,9.87,1.13,0.67,4.83,7.59,26.13,7.44,5.52,7.66,0.72,0,14.99,0,17.65,12.3,0,0,0,0,0,0,0,0,0,-12.12,0,-1.54,0,-4.31,0,-9.21,0,2.9,0,0,0,0,0,,18.63,0.1,,,0.9,,,0.35,,,92.93,,,13.34,,,0.32,,,,
22820000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.71,0,-0.12,0,3.12,0,-4.66,0,1.4,0,1.23,0,0,0,,7.27,2.03,2.31,,-0.02,0.14,,0.17,0.14,,0.15,4.64,,5.86,8.64,,0.35,0.19,,9.01,
1340000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.85,0,-0.39,0,4.75,0,-12.09,0,-4.35,0,-8.42,0,0,0,,-1.29,-2.64,-6.36,,-0.02,0.27,,-0.22,-0.63,,0.04,4.85,,14.81,15.97,,-0.18,-0.48,,-31.57,
5100000000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.9,0,-0.31,0,-1.52,0,-13.06,0,-3.51,0,-5.3,0,0,0,,-0.05,-1.55,-2.44,,0.11,0.26,,-0.14,-0.3,,1.11,5.06,,13.22,15.2,,-0.12,-0.24,,-17.8,
13100000000,,0.31,0,99.81,0,19.02,5.15,3.62,14.97,0,19.08,1.26,0,6.77,9.34,0.33,4.35,0,3.68,55.19,0,0,0,0,0,0,0,0,0,8.63,0,0.63,0,-7.67,0,11.05,0,11.54,0,17.66,0,0,0,,27.67,2.83,3.77,,0.96,1.04,,1.02,1.51,,69.82,75.02,,16.72,17.98,,0.73,1,,17.15,
16200000000,,1.31,0,99.76,0,15.96,3.51,2.16,14.19,1.53,14.87,18.35,0,8.67,14.77,0,1.59,5.3,21.37,13.55,0,0,0,0,0,0,0,0,0,4.21,0,1.54,0,0.07,0,8.95,0,11.91,0,13.9,0,0,0,,23.84,3.05,1.06,,0.94,0.96,,1.02,1.2,,78.55,82.02,,15.47,15.96,,0.8,0.9,,14.45,
5860000000,,0.94,0,97.69,0,17.06,3.01,2.22,12.96,2.44,11.75,15.89,2.39,7.87,15.55,3.25,3.56,5.59,9.98,21.73,0,0,0,0,0,0,0,0,0,3.58,0,1.82,0,-3.32,0,6.52,0,8.16,0,12.51,0,0,0,,16.84,-0.18,-0.17,,0.91,0.96,,0.72,1.08,,83.44,85.2,,14.48,15.55,,0.6,0.84,,13.07,
