net_assets,ytd_return,fund_yield,net_annual_expense_ratio_fund,portfolio_stocks,portfolio_bonds,price_earnings,price_book,price_sales,price_cashflow,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,rating_us_government,rating_aaa,rating_aa,rating_a,rating_bbb,rating_bb,rating_b,rating_below_b,rating_others,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,fund_return_2017,fund_alpha_3years,fund_alpha_5years,fund_alpha_10years,fund_beta_3years,fund_beta_5years,fund_beta_10years,fund_mean_annual_return_3years,fund_mean_annual_return_5years,fund_mean_annual_return_10years,fund_r_squared_3years,fund_r_squared_5years,fund_r_squared_10years,fund_standard_deviation_3years,fund_standard_deviation_5years,fund_standard_deviation_10years,fund_sharpe_ratio_3years,fund_sharpe_ratio_5years,fund_sharpe_ratio_10years,fund_treynor_ratio_5years,fund_treynor_ratio_10years
4990000,9.93,0.63,1.21,61.51,11.82,16.75,3.84,1.81,10.27,6.34,16.83,22.95,0,4.55,4.53,1.39,0,3.1,23.67,16.63,0,0,0,0,0,0,0,0,0,7.28,0,0.34,0,7.28,0,5.07,0,6.67,0,0,0,0,0,-0.85,15.77,-0.75,,,0.52,,,0.57,,,60.64,,,7.18,,,0.77,,,,
139240000,14.61,1.19,0.64,100,0,11.8,1.2,2.07,4.02,0,0,96.66,0,0,0,0,0,0,0,3.34,0,0,0,0,0,0,0,0,0,7.66,3.92,-1.88,-1.5,7.66,7.19,-4.98,7.72,0,6.5,0,15.7,0,-0.4,-10.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4760000,2.56,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11,0,-5.62,0,1.11,0,0,0,-0.89,0.21,-4.72,-3.3,0,2.88,3.12,0,-0.1,0.3,0,83.47,81.24,0,9.32,9.89,0,-0.27,0.28,0,0.75,0
3590000,-3.49,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.33,0,-8.71,0,-12.33,0,-14.89,0,3.23,0,-5.9,0,0,0,4.96,1.24,11.38,8.36,0,-6.38,-6.43,0,0.65,-0.28,0,81.84,80.03,0,20.74,20.57,0,0.31,-0.2,0,0.96,0
278490000,-1.12,0,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.93,0,14.55,0,-8.93,0,-80.57,0,-62.53,0,-21.52,0,0,0,-77.58,79.45,-1.36,28.65,0,2.89,3.16,0,-1.4,4.62,0,7.65,12.86,0,125.75,138.12,0,-0.14,0.4,0,-7.07,0
4280000,-3.29,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.82,2.3,7.86,0.47,-7.82,1.08,34.73,3.81,0,-1.84,0,-0.92,0,0.74,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142910000,0.1,1.46,0.75,0,20.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,25.03,-1.56,1.17,0.35,1.76,-4.12,18.43,0.03,-4.15,-1.28,-6.54,1.9,6.83,-3.64,12.2,-0.95,0.01,2.75,0.07,0.13,0.43,0.05,-0.04,0.27,0.61,2.13,16.55,11.33,13.14,16.86,-0.06,-0.1,0.17,-16.56,3.32
18620000,-0.1,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.06,0,4.98,0,-1.06,0,11.7,0,-6.57,0,-6.99,0,0,0,8.94,-33.07,-1.42,-3.96,0,0.17,0.41,0,-0.09,0.02,0,0.35,2.72,0,33.98,38.76,0,-0.07,-0.02,0,-19.38,0
84830000,-1.88,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,-9.4,0,0.13,0,-9.85,0,-2.56,0,-3.95,0,1.6,0,-8.52,24.99,-0.91,1.09,6.51,0.14,0.25,0.85,0.08,-0.05,0.59,0.6,2.15,16.57,22.62,26.17,33.52,-0.02,-0.05,0.2,-18.59,1.27
69190000,11.82,2.58,0.32,99.67,0,11.73,1.89,1.24,5.44,9.99,12.56,13.78,6.01,11.64,3.93,2.95,1.28,6.15,8.79,22.92,0,0,0,0,0,0,0,0,0,11.55,14.83,2.13,1.01,11.55,7.04,-6.01,15.54,8.44,-2.18,2.44,1.65,0,3.59,-15.19,29.91,0.94,0.15,0,0.9,0.98,0,0.72,0.28,0,61.24,70.73,0,12.21,14.05,0,0.6,0.18,0,1.64,0
